project,description,version,developers,url,year,licenses,license urls,dependency
"""Java Concurrency in Practice"" book annotations",,1.0,,http://jcip.net/,,,,net.jcip:jcip-annotations:1.0
${project.artifactId},"Implementation of various string similarity and distance algorithms: Levenshtein, Jaro-winkler, n-Gram, Q-Gram, Jaccard index, Longest Common Subsequence edit distance, cosine similarity...",2.0.0,Thibault Debatty,https://github.com/tdebatty/java-string-similarity,,MIT License,http://www.opensource.org/licenses/mit-license.php,info.debatty:java-string-similarity:2.0.0
ANTLR 3 Runtime,"A framework for constructing recognizers, compilers, and translators from grammatical descriptions containing Java, C#, C++, or Python actions.",3.5.2,"Terence Parr,Jim Idle",http://www.antlr.org,,BSD licence,http://antlr.org/license.html,org.antlr:antlr-runtime:3.5.2
Apache Commons IO,"The Apache Commons IO library contains utility classes, stream implementations, file filters,
file comparators, endian transformation classes, and much more.",2.11.0,"Scott Sanders,dIon Gillard,Nicola Ken Barozzi,Henri Yandell,Stephen Colebourne,Jeremias Maerki,Matthew Hawthorne,Martin Cooper,Rob Oxspring,Jochen Wiedmann,Niall Pemberton,Jukka Zitting,Gary Gregory,Kristian Rosenvold",https://commons.apache.org/proper/commons-io/,2002,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,commons-io:commons-io:2.11.0
Apache Kafka,,3.4.1,,https://kafka.apache.org,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.kafka:kafka-clients:3.4.1
Apache Log4j API,The Apache Log4j API,2.20.0,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.logging.log4j:log4j-api:2.20.0
Apache Log4j to SLF4J Adapter,The Apache Log4j binding between Log4j 2 API and SLF4J.,2.20.0,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.logging.log4j:log4j-to-slf4j:2.20.0
Checker Qual,"checker-qual contains annotations (type qualifiers) that a programmer
writes to specify Java code for type-checking by the Checker Framework.",3.37.0,"Michael Ernst,Suzanne Millstein",https://checkerframework.org/,,The MIT License,http://opensource.org/licenses/MIT,org.checkerframework:checker-qual:3.37.0
ClassMate,"Library for introspecting types with full generic information
        including resolving of field and method types.",1.5.1,"Tatu Saloranta,Brian Langel",https://github.com/FasterXML/java-classmate,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.fasterxml:classmate:1.5.1
error-prone annotations,,2.21.1,,,,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.errorprone:error_prone_annotations:2.21.1
FindBugs-jsr305,JSR305 Annotations for Findbugs,3.0.2,,http://findbugs.sourceforge.net/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.code.findbugs:jsr305:3.0.2
Gson,,2.10.1,,,,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.code.gson:gson:2.10.1
Guava InternalFutureFailureAccess and InternalFutures,"Contains
    com.google.common.util.concurrent.internal.InternalFutureFailureAccess and
    InternalFutures. Most users will never need to use this artifact. Its
    classes is conceptually a part of Guava, but they're in this separate
    artifact so that Android libraries can use them without pulling in all of
    Guava (just as they can use ListenableFuture by depending on the
    listenablefuture artifact).",1.0.1,,,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.guava:failureaccess:1.0.1
